"","intrcpt","se","pi.lb","pi.ub"
"Clinical Psychology/Psychiatry",0.044,0.064,-0.081,0.169
"Communication",0.039,0.078,-0.114,0.193
"Education",0.038,0.065,-0.088,0.165
"General Psychology",0.028,0.068,-0.105,0.162
"Management / IO Psychology",0.079,0.068,-0.054,0.213
"Neuropsychology",-0.323,0.091,-0.502,-0.144
"Sport and exercise psychology",0.094,0.077,-0.057,0.245
