"","intrcpt","se","pi.lb","pi.ub"
"Clinical Psychology/Psychiatry",-0.026,0.049,-0.122,0.069
"Communication",0.021,0.067,-0.111,0.153
"Education",0.018,0.05,-0.08,0.116
"General Psychology",-0.03,0.056,-0.139,0.079
"Management / IO Psychology",0.08,0.055,-0.028,0.188
"Neuropsychology",-0.105,0.073,-0.248,0.037
"Sport and exercise psychology",0.043,0.065,-0.084,0.171
