PowerAtSmall,PowerAtMedium,PowerAtLarge
0.15,0.55,0.913
0.093,0.198,0.365
0.147,0.43,0.7
0.165,0.52,0.84
0.194,0.742,0.939
0.1,0.32,0.6
0.14,0.4,0.72
0.1,0.28,0.53
0.495,0.76,0.95
0.186,0.55,0.796
0.12,0.39,0.69
0.308,0.86,0.99
0.17,0.52,0.85
